,Voltages,Times
63,-1.8e-05,1647439517.3814082
64,-1.8e-05,1647439522.3813617
65,-1.8e-05,1647439527.381456
66,-1.8e-05,1647439532.3814738
67,-1.7e-05,1647439537.3814774
68,-1.7e-05,1647439542.381424
69,-1.6e-05,1647439547.381456
70,-2.1e-05,1647439552.3813705
71,-1.7e-05,1647439557.3815174
72,-2.2e-05,1647439562.381467
73,-2e-05,1647439567.3813248
74,-1.7e-05,1647439572.3813784
75,-1.8e-05,1647439577.3813877
76,-2.2e-05,1647439582.381446
77,-2e-05,1647439587.3815134
78,-1.8e-05,1647439592.381421
79,-1.7e-05,1647439597.3813682
80,-1.6e-05,1647439602.3814645
81,-1.9e-05,1647439607.3814316
82,-1.6e-05,1647439612.3814032
83,-1.7e-05,1647439617.3815174
84,-1.5e-05,1647439622.3814251
85,-1.6e-05,1647439627.3814178
86,-1.7e-05,1647439632.381459
87,-1.9e-05,1647439637.381381
88,-2e-05,1647439642.3814225
89,-1.4e-05,1647439647.3814938
90,-1.9e-05,1647439652.381471
91,-2e-05,1647439657.3814826
92,-2e-05,1647439662.3814433
93,-2.4e-05,1647439667.3813565
94,-2.4e-05,1647439672.3814085
95,-2.4e-05,1647439677.3814523
96,-2.1e-05,1647439682.3813965
97,-2.1e-05,1647439687.3814666
98,-2e-05,1647439692.3814394
99,-1.8e-05,1647439697.3814552
100,-1.9e-05,1647439702.3813467
101,-2e-05,1647439707.3814561
102,-1.8e-05,1647439712.38143
103,-1.8e-05,1647439717.3814678
104,-2e-05,1647439722.3814266
105,-2.2e-05,1647439727.3814294
106,-2e-05,1647439732.3814423
107,-2e-05,1647439737.3814662
108,-2e-05,1647439742.381354
109,-1.7e-05,1647439747.3814805
110,-2e-05,1647439752.3813856
111,-2e-05,1647439757.381526
112,-1.6e-05,1647439762.381467
113,-1.9e-05,1647439767.3814723
114,-2e-05,1647439772.381482
115,-2e-05,1647439777.3815112
116,-2.2e-05,1647439782.3815084
117,-1.6e-05,1647439787.381427
118,-1.8e-05,1647439792.3816705
119,-1.7e-05,1647439797.3813772
120,-2e-05,1647439802.3814344
121,-1.8e-05,1647439807.3814251
122,-1.9e-05,1647439812.3814898
123,-1.8e-05,1647439817.3814347
124,-2e-05,1647439822.381468
125,-1.8e-05,1647439827.3813872
126,-1.6e-05,1647439832.3814273
127,-1.4e-05,1647439837.3813992
128,-1.6e-05,1647439842.3813775
129,-1.7e-05,1647439847.3814666
130,-1.7e-05,1647439852.3814287
131,-1.7e-05,1647439857.3813808
132,-1.6e-05,1647439862.3814354
133,-1.5e-05,1647439867.3813965
134,-1.9e-05,1647439872.3813891
135,-1.9e-05,1647439877.3814297
136,-2e-05,1647439882.3813803
137,-1.9e-05,1647439887.3814085
138,-1.8e-05,1647439892.3814437
139,-1.8e-05,1647439897.3813987
140,-2.1e-05,1647439902.3814566
141,-1.8e-05,1647439907.3814516
142,-1.5e-05,1647439912.3813963
143,-1.8e-05,1647439917.3813798
144,-1.9e-05,1647439922.3813508
145,-1.7e-05,1647439927.3813658
146,-1.8e-05,1647439932.3814135
147,-1.8e-05,1647439937.3814538
148,-2.2e-05,1647439942.3814068
149,-1.9e-05,1647439947.381442
150,-1.8e-05,1647439952.3814437
151,-1.9e-05,1647439957.3813725
