,LST,RA,DEC
0,5.33001826528881,0.15428148526018884,0.06650822678088464
1,5.330380178728944,0.15428239849631276,0.06650861625079175
2,5.330744785440189,0.15428331852856678,0.06650900861898422
3,5.3311093892176,0.1542842385534066,0.06650940098393858
4,5.331473981259632,0.15428515854868824,0.06650979333621111
5,5.331838582103184,0.15428607856618398,0.0665101856978811
6,5.3322032064175255,0.15428699864290527,0.06651057808473301
7,5.332567813128768,0.1542879186752538,0.06651097045258508
8,5.332932411038488,0.15428883868537305,0.06651136281088081
9,5.333297014815898,0.15428975871035117,0.06651175517543725
10,5.333661633262491,0.15429067877233332,0.06651214755569873
11,5.3340262370399,0.15429159879734972,0.06651253992011925
12,5.334390840817309,0.15429251882235853,0.06651293228446034
13,5.334755447528577,0.15429343885482022,0.06651332465190372
14,5.335120060107506,0.1542943589020889,0.0665137170255857
15,5.335484658017196,0.15429527891236594,0.0665141093834157
16,5.335849255926914,0.15429619892266155,0.06651450174117746
17,5.336213856770461,0.1542971189403573,0.06651489410201898
18,5.336578472283248,0.15429803899513478,0.06651528647859867
19,5.336943078994486,0.15429895902768292,0.06651567884562198
20,5.33730768570578,0.15429987906024953,0.06651607121257706
21,5.337672274813918,0.1543007990484436,0.0665164635605324
22,5.338036902062084,0.15430171913287388,0.06651685594945346
23,5.338401502905629,0.1543026391507088,0.06651724830989743
24,5.338766100815316,0.1543035591611282,0.06651764066710275
25,5.339130710460438,0.1543044792012232,0.06651803303688765
26,5.339495314237842,0.15430539922649544,0.06651842540027499
27,5.339859929750598,0.15430631928144292,0.0665188177762417
28,5.340224530594142,0.15430723929934548,0.06651921013633373
29,5.340589122636165,0.1543081592950712,0.06651960248689182
30,5.340953744016638,0.1543090793648632,0.06651999486896086
31,5.34131835366173,0.15430999940504422,0.06652038723832547
32,5.341682948637582,0.15431091940825986,0.06652077959184938
33,5.342047561216505,0.15431183945586055,0.06652117196422595
34,5.342412170861596,0.1543127594961243,0.0665215643333974
35,5.342776771705138,0.15431367951415897,0.06652195669301267
36,5.343141378416369,0.1543145995470532,0.06652234905888889
37,5.3435059792599375,0.15431551956515144,0.06652274141837897
38,5.343870585971197,0.15431643959805733,0.06652313378410782
39,5.344235192682427,0.15431735963100823,0.06652352614977979
40,5.344599793525937,0.15431827964913672,0.06652391850905424
41,5.344964394369505,0.15431919966731047,0.06652431086827182
42,5.345329012816115,0.15432011972989487,0.06652470324635304
43,5.3456936165934845,0.15432103975551328,0.06652509560859328
44,5.34605822037091,0.154321959781125,0.0665254879707544
45,5.346422815346757,0.15432287978458567,0.06652588032339268
46,5.346787433793393,0.15432379984727088,0.06652627270121221
47,5.347152046372312,0.1543247198951609,0.06652666507264587
48,5.347516641348129,0.15432563989865183,0.06652705742506854
49,5.3478812597947645,0.15432655996136788,0.06652744980267271
50,5.348245863572159,0.15432747998711832,0.06652784216443602
51,5.348610470283385,0.1543284000202693,0.0665282345292793
52,5.34897507406078,0.15432932004605726,0.06652862689090629
53,5.349339669036652,0.15433024004964185,0.0665290192429881
54,5.349704284549398,0.15433116010507128,0.06652941161710388
55,5.350068891260622,0.15433208013832303,0.06652980398168544
56,5.350433486236466,0.15433300014193854,0.06653019633355191
57,5.350798095881549,0.15433392018263578,0.0665305887011564
58,5.351162708460462,0.1543348402307331,0.0665309810718406
59,5.3515273151717135,0.15433576026405985,0.06653137343614947
60,5.351891910147556,0.15433668026775083,0.06653176578774342
61,5.352256513924947,0.15433760029370816,0.0665321581487571
62,5.3526211294377175,0.15433852034928772,0.06653255052232755
63,5.3529857361489395,0.15433944038266456,0.06653294288635309
64,5.35335033112478,0.15434036038648305,0.06653333523769679
65,5.353714943703719,0.1543412804346854,0.06653372760789254
66,5.35407955334877,0.15434220047555153,0.06653411997488347
67,5.3544441659276805,0.15434312052381838,0.06653451234495436
68,5.354808766771209,0.15434404054250062,0.06653490470233227
69,5.3551733617470765,0.15434496054636054,0.06653529705331272
70,5.355537971392155,0.15434588058730253,0.06653568942003131
71,5.355902581037232,0.15434680062823689,0.06653608178667043
72,5.356267178946902,0.15434772063958732,0.06653647414061685
73,5.356631791525838,0.15434864068796603,0.0665368665102784
74,5.356996395303195,0.15434956071414274,0.06653725887039538
75,5.357361004948244,0.15435048075517915,0.0665376512367733
76,5.357725602857967,0.15435140076657838,0.06653804359043584
77,5.358090212503014,0.15435232080765177,0.06653843595667719
78,5.358454819214259,0.1543532408413109,0.06653882831968043
79,5.358819425925474,0.15435416087501488,0.06653922068262659
80,5.359184017967449,0.15435508087170097,0.06653961302970975
81,5.359548627612552,0.15435600091282387,0.06654000539566751
82,5.359913243125316,0.1543569209688066,0.06654039776788627
83,5.360277849836502,0.15435784100253325,0.06654079013053738
84,5.360642450680054,0.15435876102154306,0.06654118248683609
85,5.361007057391267,0.154359681055308,0.06654157484935119
86,5.361371664102481,0.15436060108914368,0.0665419672118203
87,5.36173627081372,0.15436152112299856,0.06654235957422135
88,5.362100865789553,0.15436244112724298,0.06654275192391843
89,5.3624654813022845,0.15436336118333097,0.06654314429564873
90,5.362830090947385,0.15436428122462298,0.06654353666099297
91,5.363194694724736,0.1543652012511458,0.06654392901996237
92,5.363559295568285,0.15436612127025406,0.06654432137569362
93,5.363923896411805,0.15436704128940698,0.06654471373136774
94,5.3642885148584245,0.15436796135297057,0.06654510610590522
95,5.364653121569634,0.15436888138697571,0.06654549846776088
96,5.365017707743913,0.15436980136917486,0.06654589080744691
97,5.365382329124363,0.1543707214402022,0.0665462831849389
98,5.365746935835571,0.15437164147426444,0.06654667554659033
