,all_voltages,all_times
287,-0.000187,1646716380.993898
288,-0.000189,1646716386.9938922
289,-0.000185,1646716392.9938974
290,-0.000189,1646716398.9938958
291,-0.000192,1646716404.9938927
292,-0.000194,1646716410.9939005
293,-0.00019,1646716416.9938984
294,-0.000193,1646716422.993888
295,-0.000192,1646716428.9938974
296,-0.000193,1646716434.9939218
297,-0.000191,1646716440.9939063
298,-0.000197,1646716446.9938967
299,-0.000192,1646716452.9939106
300,-0.000196,1646716458.9939
301,-0.00019,1646716464.9939032
302,-0.00019,1646716470.9938111
303,-0.00019,1646716476.993898
304,-0.000194,1646716482.9939039
305,-0.000189,1646716488.99389
306,-0.000188,1646716494.9939132
307,-0.000183,1646716500.9938123
308,-0.000188,1646716506.993909
309,-0.000185,1646716512.993907
310,-0.000187,1646716518.9938834
311,-0.000189,1646716524.9938998
312,-0.000186,1646716530.9938817
313,-0.000187,1646716536.9938962
314,-0.000187,1646716542.993887
315,-0.000191,1646716548.9938853
316,-0.00019,1646716554.9939165
317,-0.000191,1646716560.992224
318,-0.000191,1646716566.993936
319,-0.000192,1646716572.9939182
320,-0.000189,1646716578.9939244
321,-0.00019,1646716584.99384
322,-0.000192,1646716591.0834544
323,-0.00019,1646716596.9938247
324,-0.00019,1646716602.9922945
325,-0.000187,1646716608.9939125
326,-0.000187,1646716614.9939425
327,-0.00019,1646716620.993898
328,-0.000188,1646716626.9939113
329,-0.000185,1646716632.9939203
330,-0.000186,1646716638.9939358
331,-0.000186,1646716644.993874
332,-0.000186,1646716650.9939122
333,-0.00019,1646716656.99384
334,-0.000189,1646716662.9905508
335,-0.00019,1646716668.9939044
336,-0.000191,1646716674.9939346
337,-0.000192,1646716680.9939325
338,-0.00019,1646716686.9938989
339,-0.00019,1646716692.993926
340,-0.000189,1646716698.992263
341,-0.000192,1646716704.993846
342,-0.000189,1646716710.9938898
343,-0.000186,1646716716.9939013
344,-0.000187,1646716722.993912
345,-0.000187,1646716728.9938047
346,-0.000184,1646716734.99393
347,-0.000185,1646716740.9939046
348,-0.000184,1646716746.993914
349,-0.000184,1646716752.9939337
350,-0.000181,1646716758.9938278
351,-0.000185,1646716764.9938715
352,-0.000187,1646716770.9938781
353,-0.000183,1646716776.9937987
354,-0.000187,1646716782.9939446
355,-0.000189,1646716788.9938588
356,-0.000188,1646716794.9938695
357,-0.00019,1646716800.9939387
358,-0.000196,1646716806.993911
359,-0.000195,1646716812.9939368
360,-0.000197,1646716818.9923012
361,-0.000197,1646716824.9923353
362,-0.000191,1646716830.993907
363,-0.000191,1646716836.9939046
364,-0.000189,1646716842.9938643
365,-0.000187,1646716848.992337
366,-0.000185,1646716854.9939008
367,-0.000184,1646716860.9939036
368,-0.000185,1646716866.9939332
369,-0.000188,1646716872.9939375
370,-0.000183,1646716878.9922535
371,-0.000184,1646716884.9921312
372,-0.000186,1646716890.9939072
373,-0.000192,1646716896.9938025
374,-0.000186,1646716902.9938765
375,-0.000187,1646716908.9938824
376,-0.000186,1646716914.9939277
377,-0.000187,1646716920.9939017
378,-0.000185,1646716926.993902
379,-0.000187,1646716932.9938636
380,-0.000188,1646716938.9939349
381,-0.000191,1646716944.993887
382,-0.000195,1646716950.9937222
383,-0.000191,1646716956.993899
384,-0.000193,1646716962.9939141
385,-0.000191,1646716968.9939065
386,-0.000188,1646716974.9939146
387,-0.000186,1646716980.9939165
388,-0.000185,1646716986.9938736
389,-0.000186,1646716992.9939518
390,-0.000185,1646716998.9939141
391,-0.000183,1646717004.988378
392,-0.000184,1646717010.9937248
393,-0.000184,1646717016.9939048
394,-0.000184,1646717022.9939275
395,-0.000185,1646717028.9939077
396,-0.000183,1646717034.993857
397,-0.000186,1646717040.9938505
398,-0.000186,1646717046.9939077
399,-0.000185,1646717052.9939446
400,-0.000189,1646717058.9939263
401,-0.000187,1646717064.9939098
402,-0.000187,1646717070.9938219
403,-0.000189,1646717077.008978
404,-0.000193,1646717082.9938862
405,-0.000194,1646717088.9939
406,-0.000194,1646717094.993924
407,-0.000197,1646717100.9939435
408,-0.000192,1646717106.9939373
409,-0.000189,1646717112.993924
410,-0.000189,1646717118.9938679
411,-0.00019,1646717124.9938326
412,-0.000183,1646717130.99393
413,-0.000186,1646717136.9939094
414,-0.000185,1646717142.9939132
415,-0.000186,1646717148.9939108
416,-0.000183,1646717154.9938698
417,-0.000184,1646717160.99381
418,-0.000181,1646717166.9939237
419,-0.000181,1646717172.993787
420,-0.000183,1646717178.9938314
421,-0.000182,1646717184.993856
422,-0.000182,1646717190.993906
423,-0.000188,1646717196.9939153
424,-0.00019,1646717202.9882786
425,-0.00019,1646717208.9901721
426,-0.000195,1646717214.9939277
427,-0.000197,1646717220.993941
428,-0.000198,1646717226.9939425
429,-0.000196,1646717232.9938593
430,-0.000194,1646717238.9939094
431,-0.000193,1646717244.9938831
432,-0.000186,1646717250.9938638
433,-0.000188,1646717256.9939277
434,-0.000191,1646717262.9939303
435,-0.000184,1646717268.993917
436,-0.000185,1646717274.9939275
437,-0.000182,1646717280.9937627
438,-0.000185,1646717286.99379
439,-0.000182,1646717292.9939017
440,-0.000183,1646717298.9939194
441,-0.000181,1646717304.9939208
442,-0.000185,1646717310.9937575
443,-0.000185,1646717316.9938862
444,-0.000188,1646717322.993947
445,-0.000188,1646717328.9939282
446,-0.000188,1646717334.9938426
447,-0.000187,1646717340.9939356
448,-0.000187,1646717346.9939387
449,-0.000191,1646717352.9939234
450,-0.000193,1646717358.993927
451,-0.000194,1646717364.993863
452,-0.000192,1646717370.9939153
453,-0.000194,1646717376.9939303
454,-0.000192,1646717382.993932
455,-0.000187,1646717388.9939342
456,-0.00019,1646717394.9939198
457,-0.000187,1646717400.9938965
458,-0.000187,1646717406.993949
459,-0.000185,1646717412.9939146
460,-0.000182,1646717418.993939
461,-0.000183,1646717424.9939396
462,-0.000182,1646717430.9939337
463,-0.000185,1646717436.993904
464,-0.000185,1646717443.0258038
465,-0.000186,1646717448.9939044
466,-0.000187,1646717454.9939141
467,-0.000182,1646717460.9939165
468,-0.000186,1646717466.9939125
469,-0.000186,1646717472.99392
470,-0.000186,1646717478.993859
471,-0.000184,1646717484.993903
472,-0.000183,1646717490.9938774
473,-0.000184,1646717496.9939365
474,-0.000189,1646717502.9939175
475,-0.000188,1646717508.9938226
476,-0.000188,1646717514.9939263
477,-0.000192,1646717520.9938462
478,-0.00019,1646717526.9921372
479,-0.00019,1646717532.9908526
480,-0.000193,1646717538.993902
481,-0.00019,1646717544.9939165
482,-0.000192,1646717550.9939003
483,-0.000195,1646717556.993906
484,-0.000191,1646717562.9939132
485,-0.000186,1646717568.993904
486,-0.000185,1646717574.992092
487,-0.00018,1646717580.9939115
488,-0.000184,1646717586.9938784
489,-0.000187,1646717592.9937153
490,-0.000189,1646717598.9939005
491,-0.000191,1646717604.993909
492,-0.000186,1646717610.9938614
493,-0.000184,1646717616.993776
494,-0.000187,1646717622.9936783
495,-0.000181,1646717628.993718
496,-0.000184,1646717634.9939046
497,-0.000185,1646717640.9939194
498,-0.000185,1646717646.9938996
499,-0.000182,1646717652.9939032
500,-0.000183,1646717658.9937444
501,-0.000186,1646717664.9937932
502,-0.000189,1646717670.99372
503,-0.000188,1646717676.9939344
504,-0.00019,1646717682.9939072
505,-0.00019,1646717688.9938662
506,-0.000192,1646717694.9938939
507,-0.000189,1646717700.9937627
508,-0.000191,1646717706.9938574
509,-0.000191,1646717712.9938478
510,-0.000193,1646717718.9939146
511,-0.000192,1646717724.9895701
512,-0.000193,1646717730.9937322
513,-0.00019,1646717736.9937758
514,-0.000192,1646717742.9937267
515,-0.000187,1646717748.993895
516,-0.000189,1646717754.9923048
517,-0.000191,1646717760.993909
518,-0.000185,1646717766.9893634
519,-0.000186,1646717772.9939024
520,-0.000185,1646717778.9922562
521,-0.000184,1646717784.993898
522,-0.000187,1646717790.9936807
523,-0.000181,1646717796.9938903
524,-0.000184,1646717802.99392
525,-0.000184,1646717808.9937837
526,-0.000185,1646717814.993906
527,-0.000184,1646717820.993903
528,-0.000186,1646717826.9939406
529,-0.000192,1646717832.9938562
530,-0.000187,1646717838.9938955
531,-0.000187,1646717844.993917
532,-0.000184,1646717850.993899
