,RA,Dec,LST
0,4.913121160827069,-0.4018077725559606,5.898813666750389
1,4.913122267505085,-0.4018076915321271,5.89917558315987
2,4.913123382400603,-0.401807609906209,5.899540186972998
3,4.913124497296083,-0.40180752827984073,5.899904790786183
4,4.913125612155625,-0.4018074466556504,5.900269382863958
5,4.913126727041955,-0.40180736502904535,5.900633983743256
6,4.913127842000023,-0.4018072833967345,5.900998608093345
7,4.913128956904169,-0.4018072017679187,5.901363214840362
8,4.913130071781341,-0.40180712014062425,5.9017278127858015
9,4.913131186676401,-0.4018070385115672,5.9020924165989594
10,4.913132301616235,-0.4018069568787781,5.902457035081331
11,4.9131334165200915,-0.4018068752481704,5.902821641828321
12,4.913134531414939,-0.40180679361776883,5.903186245641508
13,4.913135646318684,-0.40180671198626244,5.903550852388527
14,4.913136761231305,-0.4018066303536531,5.903915462069349
15,4.913137876107988,-0.40180654872322163,5.904280060014846
16,4.913138990984591,-0.4018064670923427,5.904644657960317
17,4.913140105879085,-0.40180638545970104,5.905009261773449
18,4.913141220809342,-0.401806303823987,5.9053738773220195
19,4.913142335703688,-0.40180622219044926,5.905738481135181
20,4.913143450606941,-0.4018061405558059,5.9061030878821725
21,4.913144565465238,-0.4018060589240013,5.906467679959982
22,4.91314568042214,-0.401805977284523,5.906832304310075
23,4.913146795316209,-0.4018058956491925,5.907196908123209
24,4.913147910192276,-0.40180581401472665,5.90756150606871
25,4.913149025104122,-0.40180573237718775,5.907926115749535
26,4.9131501399979385,-0.401805650740516,5.908290719562726
27,4.913151254918612,-0.40180556910142434,5.908655332177411
28,4.913152369812321,-0.40180548746385336,5.909019935990603
29,4.913153484661108,-0.40180540582911906,5.909384525134498
30,4.913154599617443,-0.4018053241860559,5.909749149484623
31,4.913155714519896,-0.40180524254648536,5.910113756231646
32,4.91315682938639,-0.4018051609090944,5.910478351243204
33,4.913157944315616,-0.40180507926665654,5.91084296679175
34,4.913159059226824,-0.40180499762508487,5.911207576472635
35,4.913160174111056,-0.4018049159850352,5.911572177351942
36,4.913161289013139,-0.40180483434322506,5.911936784098967
37,4.913162403897238,-0.4018047527022789,5.912301384978302
