,sun_times,sun_volts
0,0.0,-0.0002625525094896668
1,4.963108539581299,-0.0004575525094896668
2,9.963096618652344,-0.0005015525094896668
3,14.96307897567749,-0.0007265525094896668
4,19.96289348602295,-0.0008885525094896668
5,24.962812662124634,-0.0008825525094896668
6,29.963067770004272,-0.0007145525094896668
7,34.963085889816284,-0.0003335525094896668
8,39.96297597885132,-7.552509489666817e-06
9,44.96294641494751,0.0001444474905103332
10,49.963111877441406,0.00018544749051033319
11,54.963112354278564,7.044749051033318e-05
12,59.96308732032776,-0.0002135525094896668
13,64.96310901641846,-0.0005835525094896668
14,69.96317958831787,-0.0008525525094896668
15,74.96307706832886,-0.0009105525094896668
16,79.9629590511322,-0.0007545525094896668
17,84.9629168510437,-0.0004005525094896668
18,89.96304702758789,-1.5552509489666808e-05
19,94.96304249763489,0.0003304474905103332
20,99.96304631233215,0.0004434474905103332
21,104.96284031867981,0.0003494474905103332
22,109.96312069892883,-1.1552509489666819e-05
23,114.96307516098022,-0.0004115525094896668
24,119.96297240257263,-0.0007385525094896668
25,124.96302199363708,-0.0009195525094896668
26,129.96299743652344,-0.0007935525094896668
27,134.96310877799988,-0.0004915525094896668
28,139.9630582332611,-5.055250948966682e-05
29,144.96284294128418,0.0002654474905103332
30,149.96308422088623,0.0004734474905103332
31,154.96310710906982,0.0004404474905103332
32,159.9629738330841,0.00012044749051033319
33,164.9630835056305,-0.0002715525094896668
34,169.96314024925232,-0.0006765525094896668
35,174.96307516098022,-0.0009015525094896668
36,179.9630835056305,-0.0009185525094896668
37,184.9630126953125,-0.0006645525094896668
38,189.9630217552185,-0.0002535525094896668
39,194.96304750442505,0.00020744749051033318
40,199.96294474601746,0.0004614474905103332
41,204.96290373802185,0.0004404474905103332
42,209.96305227279663,0.00019144749051033317
43,214.96303868293762,-0.00021255250948966679
44,219.96299815177917,-0.0006485525094896668
45,224.96288347244263,-0.0009395525094896669
46,229.96304869651794,-0.0010345525094896668
47,234.9631381034851,-0.0007795525094896668
48,239.96298503875732,-0.0003685525094896668
49,244.96314525604248,3.144749051033318e-05
50,249.96312355995178,0.0003304474905103332
51,254.96314406394958,0.0004124474905103332
52,259.9631361961365,0.00026944749051033317
53,264.9629559516907,-8.355250948966681e-05
54,269.96311116218567,-0.0005295525094896668
55,274.96312618255615,-0.0008205525094896668
56,279.9629662036896,-0.0009335525094896667
57,284.96302819252014,-0.0007355525094896668
58,289.96311688423157,-0.0003545525094896668
59,294.96313643455505,0.0001044474905103332
60,299.96298241615295,0.0004434474905103332
61,304.9629626274109,0.0005084474905103332
62,309.9630854129791,0.0003164474905103332
63,314.96310234069824,-7.255250948966681e-05
64,319.96295619010925,-0.0005595525094896668
65,324.9630649089813,-0.0009335525094896667
66,329.96309304237366,-0.0010475525094896668
67,334.9631772041321,-0.0009005525094896668
68,339.96312975883484,-0.0005015525094896668
69,344.9629774093628,-9.552509489666811e-06
70,349.9630310535431,0.0003674474905103332
71,354.96307396888733,0.0005184474905103332
72,359.96297430992126,0.0003594474905103332
73,364.96307015419006,-3.355250948966681e-05
74,369.9630410671234,-0.0005145525094896668
75,374.9631145000458,-0.0009165525094896668
76,379.96299839019775,-0.001056552509489667
77,384.9630329608917,-0.0008925525094896668
78,389.96305108070374,-0.00048255250948966684
79,394.96306467056274,1.2447490510333188e-05
80,399.96289229393005,0.0003884474905103332
81,404.9629361629486,0.0006194474905103332
82,409.9630663394928,0.0004864474905103332
83,414.9630856513977,-9.552509489666811e-06
84,419.96302461624146,-0.0005545525094896667
85,424.96303248405457,-0.0009275525094896668
86,429.96303033828735,-0.001061552509489667
87,434.96307039260864,-0.0008595525094896668
88,439.9629063606262,-0.0004935525094896668
89,444.9630227088928,-0.00010655250948966682
90,449.9630928039551,0.0002744474905103332
91,454.9630858898163,0.0004594474905103332
92,459.9630072116852,0.0003064474905103332
93,464.96294474601746,-9.855250948966682e-05
94,469.9630949497223,-0.0005815525094896668
95,474.9631190299988,-0.0009155525094896669
96,479.9628653526306,-0.001089552509489667
97,484.9630844593048,-0.0009055525094896668
98,489.9630823135376,-0.0004315525094896668
99,494.9611780643463,1.4474905103331853e-06
100,499.9631099700928,0.0003194474905103332
101,504.96291851997375,0.0004804474905103332
102,509.9631235599518,0.0002754474905103332
103,514.9630644321442,-0.00017855250948966683
104,519.9631230831146,-0.0006815525094896668
105,524.9631381034851,-0.001022552509489667
106,529.963161945343,-0.0010675525094896669
107,534.9631371498108,-0.0008645525094896668
108,539.9631173610687,-0.00038155250948966683
109,544.9631400108337,0.0001974474905103332
110,549.9630858898163,0.0005844474905103332
111,554.9630267620087,0.0006184474905103332
112,559.9629485607147,0.0002964474905103332
113,564.9628961086273,-0.00021655250948966677
114,569.9630596637726,-0.0006995525094896668
115,574.9630484580994,-0.000988552509489667
116,579.9631156921387,-0.0009535525094896668
117,584.9629883766174,-0.0006815525094896668
118,589.9630441665649,-0.00021455250948966678
119,594.9610960483551,0.0003464474905103332
120,599.9630610942841,0.0006024474905103332
121,604.9765033721924,0.0005244474905103331
122,609.9630537033081,0.0001444474905103332
123,614.9631061553955,-0.0004155525094896668
124,619.9631168842316,-0.0009275525094896668
125,624.9630558490753,-0.001154552509489667
126,629.9631342887878,-0.001035552509489667
127,634.9631071090698,-0.0006135525094896668
128,639.9630978107452,3.344749051033319e-05
129,644.9631700515747,0.0005834474905103332
130,649.9630689620972,0.0005224474905103332
131,654.9630525112152,0.0003354474905103332
132,659.9630928039551,-5.555250948966682e-05
133,664.9630966186523,-0.0005795525094896668
