,Voltages,Times
63,-0.000127,1648656225.0872793
64,-0.000614,1648656230.087133
65,-0.000988,1648656235.0872416
66,-0.001102,1648656240.0872698
67,-0.000955,1648656245.087354
68,-0.000556,1648656250.0873063
69,-6.4e-05,1648656255.0871542
70,0.000313,1648656260.0872078
71,0.000464,1648656265.0872507
72,0.000305,1648656270.087151
73,-8.8e-05,1648656275.087247
74,-0.000569,1648656280.0872178
75,-0.000971,1648656285.0872912
76,-0.001111,1648656290.0871751
77,-0.000947,1648656295.0872097
78,-0.000537,1648656300.0872278
79,-4.2e-05,1648656305.0872414
80,0.000334,1648656310.087069
81,0.000565,1648656315.0871127
82,0.000432,1648656320.087243
83,-6.4e-05,1648656325.0872624
84,-0.000609,1648656330.0872014
85,-0.000982,1648656335.0872092
86,-0.001116,1648656340.087207
87,-0.000914,1648656345.0872471
88,-0.000548,1648656350.0870833
89,-0.000161,1648656355.0871994
90,0.00022,1648656360.0872695
91,0.000405,1648656365.0872626
92,0.000252,1648656370.087184
93,-0.000153,1648656375.0871217
94,-0.000636,1648656380.0872715
95,-0.00097,1648656385.0872958
96,-0.001144,1648656390.0870419
97,-0.00096,1648656395.0872612
98,-0.000486,1648656400.087259
99,-5.3e-05,1648656405.0853548
100,0.000265,1648656410.0872867
101,0.000426,1648656415.0870953
102,0.000221,1648656420.0873005
103,-0.000233,1648656425.0872412
104,-0.000736,1648656430.0872998
105,-0.001077,1648656435.0873148
106,-0.001122,1648656440.0873387
107,-0.000919,1648656445.0873141
108,-0.000436,1648656450.0872939
109,0.000143,1648656455.0873168
110,0.00053,1648656460.0872626
111,0.000564,1648656465.0872035
112,0.000242,1648656470.0871253
113,-0.000271,1648656475.0870728
114,-0.000754,1648656480.0872364
115,-0.001043,1648656485.0872252
116,-0.001008,1648656490.0872924
117,-0.000736,1648656495.087165
118,-0.000269,1648656500.0872207
119,0.000292,1648656505.0852728
120,0.000548,1648656510.0872378
121,0.00047,1648656515.1006799
122,9e-05,1648656520.0872304
123,-0.00047,1648656525.0872827
124,-0.000982,1648656530.0872936
125,-0.001209,1648656535.0872326
126,-0.00109,1648656540.087311
127,-0.000668,1648656545.0872838
128,-2.1e-05,1648656550.0872746
129,0.000529,1648656555.0873468
130,0.000468,1648656560.0872455
131,0.000281,1648656565.0872293
132,-0.00011,1648656570.0872695
133,-0.000634,1648656575.0872734
134,-0.001082,1648656580.0872521
135,-0.001193,1648656585.087299
136,-0.000952,1648656590.0872211
137,-0.000462,1648656595.0872352
138,5e-05,1648656600.087309
139,0.000355,1648656605.0872653
140,0.000453,1648656610.0872273
141,0.000317,1648656615.0874116
142,-0.000211,1648656620.0873215
143,-0.000772,1648656625.0872648
144,-0.001102,1648656630.0873003
145,-0.00109,1648656635.0872512
146,-0.000774,1648656640.0873377
147,-0.000267,1648656645.087311
148,0.00021,1648656650.0872903
149,0.000504,1648656655.0873194
150,0.000458,1648656660.0872567
151,7e-05,1648656665.087265
152,-0.000468,1648656670.0873194
153,-0.000943,1648656675.087227
154,-0.001128,1648656680.0872633
155,-0.000978,1648656685.0872283
