,Voltages,Times
95,4.2e-05,1647448658.87131
96,3.9e-05,1647448663.8714569
97,3.9e-05,1647448668.8714721
98,4.1e-05,1647448673.8713694
99,4.3e-05,1647448678.8714657
100,4.1e-05,1647448683.8714619
101,4.1e-05,1647448688.8715124
102,4.1e-05,1647448693.8714137
103,4.5e-05,1647448698.871318
104,4.4e-05,1647448703.8715382
105,4.5e-05,1647448708.87147
106,4.5e-05,1647448713.8715227
107,4.4e-05,1647448718.8713388
108,4.3e-05,1647448723.8714058
109,4.4e-05,1647448728.8714972
110,3.8e-05,1647448733.8714294
111,3.8e-05,1647448738.8714597
112,3.7e-05,1647448743.8714962
113,3.5e-05,1647448748.8714743
114,3.6e-05,1647448753.8715246
115,3.7e-05,1647448758.8714406
116,3.8e-05,1647448763.8714929
117,3.8e-05,1647448768.8713639
118,3.8e-05,1647448773.871491
119,3.7e-05,1647448778.8713973
120,4e-05,1647448783.871499
121,4e-05,1647448788.871418
122,4.1e-05,1647448793.8714852
123,4.1e-05,1647448798.8715336
124,4e-05,1647448803.87154
125,3.8e-05,1647448808.871449
126,3.6e-05,1647448813.8713727
127,3.5e-05,1647448818.8714767
128,3.6e-05,1647448823.8715217
129,3.9e-05,1647448828.8713868
130,3.9e-05,1647448833.8713825
131,3.8e-05,1647448838.8713953
132,3.8e-05,1647448843.8714256
133,3.7e-05,1647448848.8714926
134,3.9e-05,1647448853.871305
135,4.1e-05,1647448858.8713763
136,3.9e-05,1647448863.8714342
137,3.7e-05,1647448868.871518
138,3.7e-05,1647448873.8714797
139,3.7e-05,1647448878.8713562
140,3.8e-05,1647448883.871501
141,4.2e-05,1647448888.87142
142,4.1e-05,1647448893.8714144
143,4e-05,1647448898.8714364
144,4.2e-05,1647448903.871429
145,4.3e-05,1647448908.8715024
146,4.4e-05,1647448913.871428
147,3.9e-05,1647448918.8712914
148,3.8e-05,1647448923.8714404
149,3.7e-05,1647448928.871372
150,3.9e-05,1647448933.871396
151,4e-05,1647448938.8712935
152,4.1e-05,1647448943.8714848
153,4.1e-05,1647448948.8715334
154,4.1e-05,1647448953.8714929
155,3.9e-05,1647448958.8715153
156,3.7e-05,1647448963.8716106
157,3.7e-05,1647448968.8715198
158,3.8e-05,1647448973.871489
159,3.8e-05,1647448978.8715029
160,3.7e-05,1647448983.8715518
161,3.7e-05,1647448988.8715103
162,3.6e-05,1647448993.8714705
163,3.7e-05,1647448998.8714976
164,3.6e-05,1647449003.8714955
165,3.5e-05,1647449008.8715076
166,3.5e-05,1647449013.871499
167,3.7e-05,1647449018.8715
168,3.5e-05,1647449023.871487
169,3.5e-05,1647449028.8714628
170,3.8e-05,1647449033.8715072
171,3.8e-05,1647449038.8715196
172,3.9e-05,1647449043.871454
173,3.9e-05,1647449048.871493
174,4.1e-05,1647449053.8714683
175,4.2e-05,1647449058.8714697
176,4.1e-05,1647449063.8714235
177,4e-05,1647449068.8714728
178,3.9e-05,1647449073.8714955
179,3.7e-05,1647449078.871391
180,3.9e-05,1647449083.8715158
181,3.7e-05,1647449088.8714018
182,3.8e-05,1647449093.8715074
183,3.9e-05,1647449098.8714547
184,3.9e-05,1647449103.8715243
185,3.9e-05,1647449108.8714764
186,3.8e-05,1647449113.8715122
187,4e-05,1647449118.871393
188,3.9e-05,1647449123.8693519
189,4e-05,1647449128.8714733
190,4e-05,1647449133.8715296
191,4e-05,1647449138.8714523
192,4.1e-05,1647449143.8714838
193,4e-05,1647449148.8715196
194,4.2e-05,1647449153.8714972
195,4.1e-05,1647449158.871459
196,4.1e-05,1647449163.8715236
197,3.8e-05,1647449168.8715115
198,3.7e-05,1647449173.871547
199,3.8e-05,1647449178.8714638
200,4e-05,1647449183.8715112
201,3.6e-05,1647449188.8715634
202,3.6e-05,1647449193.87151
203,3.7e-05,1647449198.8714533
204,3.8e-05,1647449203.871472
205,3.9e-05,1647449208.8714318
206,3.4e-05,1647449213.8715274
207,3.4e-05,1647449218.8714597
208,3.4e-05,1647449223.8714678
209,3.1e-05,1647449228.8714366
210,3.1e-05,1647449233.8714783
211,3.4e-05,1647449238.8715234
212,3.8e-05,1647449243.8693528
213,3.6e-05,1647449248.8714433
214,3.5e-05,1647449253.871482
215,3.1e-05,1647449258.8714845
216,3.5e-05,1647449263.8715203
217,4.1e-05,1647449268.8714612
218,4.1e-05,1647449273.871475
219,4e-05,1647449278.8714359
220,4e-05,1647449283.8714101
221,4e-05,1647449288.8715048
222,4.2e-05,1647449293.8714392
223,4.1e-05,1647449298.8714697
224,4e-05,1647449303.8714929
225,3.2e-05,1647449308.8714824
226,3.3e-05,1647449313.8715034
227,3e-05,1647449318.8713953
228,3.3e-05,1647449323.8714397
229,3.2e-05,1647449328.871507
230,2.6e-05,1647449333.8715525
231,2.6e-05,1647449338.8715067
232,2.8e-05,1647449343.8715076
233,3.3e-05,1647449348.87147
234,3.4e-05,1647449353.8715334
235,3.5e-05,1647449358.8715086
236,3.2e-05,1647449363.8714933
237,3.2e-05,1647449368.8715208
238,3.7e-05,1647449373.8715034
239,3.8e-05,1647449378.8715122
240,3.9e-05,1647449383.8715866
241,4e-05,1647449388.8715227
242,4e-05,1647449393.8715534
243,4e-05,1647449398.8715067
244,3.9e-05,1647449403.8693178
245,3.8e-05,1647449408.8715127
246,3.8e-05,1647449413.869369
247,3.6e-05,1647449418.8715167
248,3.8e-05,1647449423.8715198
249,3.7e-05,1647449428.8715632
250,3.9e-05,1647449433.871483
251,3.9e-05,1647449438.871552
252,3.9e-05,1647449443.8715494
253,4.1e-05,1647449448.8715253
254,4e-05,1647449453.8715713
255,3.9e-05,1647449458.8715193
256,3.9e-05,1647449463.8715494
257,3.8e-05,1647449468.8715672
258,3.7e-05,1647449473.8715227
259,3.8e-05,1647449478.8715284
260,3.4e-05,1647449483.8694284
261,3.5e-05,1647449488.8715384
262,3.6e-05,1647449493.8714962
263,3.7e-05,1647449498.8714483
264,3.8e-05,1647449503.8714764
265,3.6e-05,1647449508.8715863
266,3.5e-05,1647449513.8715236
267,3.5e-05,1647449518.871525
268,3.6e-05,1647449523.8715303
269,3.6e-05,1647449528.8714874
270,3.7e-05,1647449533.8715837
271,3.6e-05,1647449538.871455
272,3.5e-05,1647449543.8714695
273,3.5e-05,1647449548.8714588
274,3.5e-05,1647449553.8715193
275,3.4e-05,1647449558.8715525
276,3.4e-05,1647449563.8715076
277,3.4e-05,1647449568.8715093
278,3.2e-05,1647449573.8715124
279,3.4e-05,1647449578.8715472
280,3.5e-05,1647449583.8715463
281,3.4e-05,1647449588.871482
282,3.4e-05,1647449593.8714538
283,3.3e-05,1647449598.8715186
284,3.4e-05,1647449603.871561
285,3.3e-05,1647449608.8715043
286,3e-05,1647449613.8714483
287,2.8e-05,1647449618.8715162
288,3.1e-05,1647449623.871481
289,3.3e-05,1647449628.87147
290,3.5e-05,1647449633.8714602
291,3.6e-05,1647449638.8714924
292,3.6e-05,1647449643.8715065
293,3.6e-05,1647449648.8715591
294,3.6e-05,1647449653.8715222
295,3.5e-05,1647449658.8714664
296,3.6e-05,1647449663.871431
297,3.8e-05,1647449668.8715281
298,3.8e-05,1647449673.8715444
299,3.7e-05,1647449678.8715262
300,3.7e-05,1647449683.871508
301,3.9e-05,1647449688.8715146
302,3.9e-05,1647449693.8714938
303,3.9e-05,1647449698.8715022
304,3.7e-05,1647449703.8715098
305,3.6e-05,1647449708.871515
306,3.9e-05,1647449713.871496
307,3.8e-05,1647449718.8714783
308,3.8e-05,1647449723.8714957
309,3.6e-05,1647449728.871536
310,3.5e-05,1647449733.871544
311,3.6e-05,1647449738.8715277
312,3.5e-05,1647449743.8714488
313,3.5e-05,1647449748.8715322
314,3.4e-05,1647449753.871493
315,3.4e-05,1647449758.8691957
316,3.6e-05,1647449763.871516
317,3.7e-05,1647449768.8715005
318,3.5e-05,1647449773.8714685
319,3.5e-05,1647449778.871504
320,3.6e-05,1647449783.8715143
321,3.5e-05,1647449788.8715446
322,3.4e-05,1647449793.8715172
323,3.1e-05,1647449798.8714588
324,3.3e-05,1647449803.8714542
325,3.2e-05,1647449808.8715386
326,3.1e-05,1647449813.8715322
327,3e-05,1647449818.8714862
328,3e-05,1647449823.8693082
329,3.2e-05,1647449828.8715477
330,3.2e-05,1647449833.869326
331,3.4e-05,1647449838.8715076
332,3.5e-05,1647449843.871511
333,3.6e-05,1647449848.87151
334,3.6e-05,1647449853.8715339
335,3.7e-05,1647449858.8691392
336,3.7e-05,1647449863.871521
337,3.6e-05,1647449868.871491
338,3.3e-05,1647449873.8715148
339,3.4e-05,1647449878.8715515
340,3.6e-05,1647449883.8693204
341,3.5e-05,1647449888.8715453
342,3.5e-05,1647449893.8714983
343,3.4e-05,1647449898.8715205
344,2.9e-05,1647449903.8715124
345,3e-05,1647449908.8715053
346,3.1e-05,1647449913.8715525
347,3e-05,1647449918.8714993
348,3.1e-05,1647449923.8715355
349,3.3e-05,1647449928.8715
350,3.2e-05,1647449933.896555
351,3.1e-05,1647449938.871488
352,3.4e-05,1647449943.8715527
353,3.5e-05,1647449948.8715453
354,3.4e-05,1647449953.8715205
355,3.2e-05,1647449958.8715096
356,3.2e-05,1647449963.8715203
357,3.4e-05,1647449968.871543
358,3.3e-05,1647449973.8715436
359,3.4e-05,1647449978.8715003
360,3.4e-05,1647449983.871539
361,3.2e-05,1647449988.8715134
362,3.5e-05,1647449993.8714979
363,3.2e-05,1647449998.871483
